year,tract,pop,lpa,mhlth,obese
5,42101008701,4347,12.3,15.4,22.1
1,42101008702,3036,13.7,15.4,19.3
2,42101008702,3036,17.4,15,18.9
3,42101008702,3036,15.4,16.3,17.7
4,42101008702,3036,15.8,18.1,18.4
5,42101008702,3441,17.8,19.1,22.5
1,42101008801,988,17.9,22.6,18.9
2,42101008801,988,23.5,22.9,18.8
3,42101008801,988,21.3,22.1,17.6
4,42101008801,988,21.9,26.6,18.4
5,42101008801,1600,18.6,25.2,19.2
1,42101008802,6983,19.4,24.7,20.1
2,42101008802,6983,26.8,25.7,20.8
3,42101008802,6983,24.6,24.1,19.4
4,42101008802,6983,25.7,29.7,20.4
5,42101008802,6580,22.1,26,21.8
1,42101009000,5576,20.7,25.9,22
2,42101009000,5576,27.1,25.9,21.9
3,42101009000,5576,24.6,24,20.4
4,42101009000,5576,25.5,29.5,21.5
5,42101009000,7694,24.1,30.1,23.9
1,42101009100,2803,24.5,17.8,28.3
2,42101009100,2803,29.9,17.7,29.2
3,42101009100,2803,28.4,17.3,27.4
4,42101009100,2803,29.4,19.9,28
5,42101009100,3934,26.6,19.9,29
1,42101009200,2884,30.1,22,38
2,42101009200,2884,32.6,19.2,36.5
3,42101009200,2884,30.8,19.2,34.8
4,42101009200,2884,31.8,21.4,35.3
5,42101009200,3974,24.7,21,32.2
1,42101009300,4221,33.1,20.9,41
2,42101009300,4221,39.1,20.4,42.1
3,42101009300,4221,37.8,20.1,40.1
4,42101009300,4221,38.9,22.3,40.6
5,42101009300,4261,32.9,22.1,42.6
1,42101009400,3827,38.9,22.3,43.5
2,42101009400,3827,44.4,21.2,44.4
3,42101009400,3827,43.3,20.3,42.3
4,42101009400,3827,44.7,22.7,42.8
5,42101009400,3766,42.2,24.2,45.7
1,42101009500,3313,36.5,22.5,43.1
2,42101009500,3313,41.4,20.8,43.3
3,42101009500,3313,40.2,20.2,41.2
4,42101009500,3313,41.3,22.5,41.7
5,42101009500,3289,37.3,22.8,45
1,42101009600,4238,35.9,21.8,43
2,42101009600,4238,39,19.4,41.5
3,42101009600,4238,37.7,19.3,39.4
4,42101009600,4238,38.8,21.1,40
5,42101009600,4275,27.9,20,39.2
1,42101009801,2184,22.8,16.1,34.1
2,42101009801,2184,27.2,15.3,34.9
3,42101009801,2184,25.6,16.7,32.8
4,42101009801,2184,25.9,17.4,33.5
5,42101009801,2206,24.4,19.1,38.9
1,42101009802,5475,25.3,17.8,36.8
2,42101009802,5475,30.5,16.8,37.5
3,42101009802,5475,28.6,17.7,35.5
4,42101009802,5475,29.2,18.9,36.2
5,42101009802,5495,24.4,18.8,39.6
1,42101010000,4366,30.1,20.2,38.6
2,42101010000,4366,32.7,17.7,37.5
3,42101010000,4366,31,18.3,35.5
4,42101010000,4366,31.5,19.6,36.2
5,42101010000,4397,28.5,19.8,40
1,42101010100,5459,30.5,18.5,38.9
2,42101010100,5459,34.3,16.8,39.4
3,42101010100,5459,32.9,17.3,37.3
4,42101010100,5459,33.7,18.7,37.9
5,42101010100,5640,25.2,17.4,38
1,42101010200,3187,37.3,22.5,43.2
2,42101010200,3187,41.8,20.6,43
3,42101010200,3187,40.6,20,40.8
4,42101010200,3187,41.7,22.1,41.3
5,42101010200,3147,32,20.5,42.4
1,42101010300,2449,32.7,20.7,41
2,42101010300,2449,36.5,18.7,40.6
3,42101010300,2449,35,18.9,38.5
4,42101010300,2449,35.9,20.5,39.2
5,42101010300,2572,32.9,21.4,44
1,42101010400,3332,38.2,23.6,43.8
2,42101010400,3332,44.2,22.3,44.5
3,42101010400,3332,42.8,21.1,42.5
4,42101010400,3332,44.3,23.8,43
5,42101010400,3573,37,23.4,45
1,42101010500,3746,40.9,20,41.7
2,42101010500,3746,44.2,18.1,41.4
3,42101010500,3746,43.9,17.7,39.1
4,42101010500,3746,45.2,19.4,39.5
5,42101010500,3363,32.6,18.5,40
1,42101010600,1476,42,24.3,46.1
2,42101010600,1476,47.7,22.9,46.6
3,42101010600,1476,46.5,21,44.5
4,42101010600,1476,48.2,23.9,44.9
5,42101010600,1476,41.3,23,45
1,42101010700,3562,37.1,23.9,43.7
2,42101010700,3562,42.9,22.3,43.5
3,42101010700,3562,41.3,21.4,41.5
4,42101010700,3562,42.6,23.9,42
5,42101010700,3479,43.5,26.1,46.3
1,42101010800,3611,34.5,23.6,41
2,42101010800,3611,40.9,22.5,41.7
3,42101010800,3611,39.1,21.4,39.7
4,42101010800,3611,40.4,24.2,40.3
5,42101010800,3936,35.6,25.7,42.9
1,42101010900,2313,33,24.7,39.4
2,42101010900,2313,36.4,22.1,37.6
3,42101010900,2313,34.6,21.1,35.7
4,42101010900,2313,35.6,24.3,36.3
5,42101010900,2641,28.9,24.5,34.7
1,42101011000,3470,39.9,25.1,45.7
2,42101011000,3470,47.1,24.1,46.1
3,42101011000,3470,45.5,22.3,44
4,42101011000,3470,46.9,25.2,44.5
5,42101011000,3378,36.5,22,44.7
1,42101011100,3712,32.6,20.6,41.6
2,42101011100,3712,36.5,18.7,40.7
3,42101011100,3712,35.1,18.8,38.7
4,42101011100,3712,35.9,20.5,39.2
5,42101011100,3537,32.9,21.1,42.8
1,42101011200,5494,34,20.6,42
2,42101011200,5494,38.3,19,41.3
3,42101011200,5494,37,19,39.2
4,42101011200,5494,38,20.8,39.8
5,42101011200,5598,35.7,22.3,44.3
1,42101011300,2917,33.7,19.3,41.3
2,42101011300,2917,39.7,18.8,42.5
3,42101011300,2917,38.8,18.5,40.3
4,42101011300,2917,39.7,20.3,40.8
5,42101011300,2834,35.9,20.6,43.8
1,42101011400,6126,26.9,16.5,36.3
2,42101011400,6126,34.6,16.7,39.4
3,42101011400,6126,33.4,17.1,37.2
4,42101011400,6126,34.2,18.5,37.8
5,42101011400,6320,26.6,17.7,39
1,42101011500,4282,25.1,17.8,36.3
2,42101011500,4282,28.4,15.9,35.9
3,42101011500,4282,26.7,17.1,33.8
4,42101011500,4282,27,17.9,34.6
5,42101011500,4104,23.9,18.2,38.2
1,42101011700,1931,19.6,21.1,26
2,42101011700,1931,24.5,20.6,26.2
3,42101011700,1931,22.7,20.9,24.5
4,42101011700,1931,23.4,23.8,25.4
5,42101011700,1893,21.7,23.1,25.8
1,42101011800,5621,30.3,17.7,39.5
2,42101011800,5621,35.5,17,40.6
3,42101011800,5621,34.6,17.2,38.4
4,42101011800,5621,35.4,18.6,38.8
5,42101011800,5491,26,16.8,39.1
1,42101011900,5195,31.9,19.2,40.4
2,42101011900,5195,34.1,16.9,38.9
3,42101011900,5195,32.9,17.4,36.8
4,42101011900,5195,33.5,18.6,37.3
5,42101011900,5016,29.9,18.3,38.6
1,42101012000,1947,19.8,17.2,28
2,42101012000,1947,23.2,16.2,28
3,42101012000,1947,21.9,17.4,26.2
4,42101012000,1947,22.3,19.1,27
5,42101012000,1943,20.2,17.9,28.8
1,42101012100,2547,25.6,15.3,32.3
2,42101012100,2547,29.8,14.5,32.8
3,42101012100,2547,28.8,15.3,30.7
4,42101012100,2547,29.5,16.2,31.4
5,42101012100,2817,22.3,15.7,33.4
1,42101012201,2911,24.3,16,27.6
2,42101012201,2911,29.8,16.3,28.4
3,42101012201,2911,28.7,16.5,26.6
